,name,_timestamp,final/radius,final/mape_train,metrics/mape_val,runtime (secs),final/%rmse_val,final/loss_train,final/loss_val,final/mape_val,final/mape_test,final/%rmse_test,_step,loss/val,loss/train,final/scaling,metrics/%rmse_val,_runtime,train time,final/loss_test,final/%rmse_train,loss,seed,model,epochs,dropout,scaling,distance,batch_size,len_sequence,multiplicity,weight_decay,learning_rate,embedding_size,num_val_sequences,num_test_sequences,num_train_sequences
10,cnn_euclidean_32,1683537775,,0.05402517143530505,0.06178472663642782,3143,1.015608238892013,4.8857295902690835e-05,0.0001031460094905336,0.06240888993396904,0.060890996195459256,0.9378589734365292,156,0.00013703382035453964,4.1733173875730825e-05,,1.1706144555511846,3142,3118.545121908188,8.795794540554206e-05,0.6989799417915427,mse,44,cnn,500,0,False,euclidean,128,2368,11,0,0.001,32,100,150,7000
11,cnn_euclidean_32,1683534619,,0.049581186019367986,0.05357295678119467,5350,0.8750092335993427,4.207120250718511e-05,7.65641158884109e-05,0.05228350949106794,0.05857853465465625,0.9665143264315028,263,8.320397895530355e-05,4.0830986910876095e-05,,0.9121621509101524,5350,5325.749840497971,9.341499431973418e-05,0.6486231764837356,mse,43,cnn,500,0,False,euclidean,128,2368,11,0,0.001,32,100,150,7000
12,cnn_euclidean_16,1683529256,,0.06006232573653196,0.06579589301889593,3303,1.160881828890374,8.639150943649424e-05,0.00013476466206478594,0.06469360349455265,0.0678214337991788,1.1774907721505874,163,0.00013712115017544346,8.310317980010642e-05,,1.1709874046096458,3302,3278.1281332969666,0.00013864845184997866,0.929470330007872,mse,46,cnn,400,0,False,euclidean,128,2368,11,0,0.001,16,100,150,7000
13,cnn_euclidean_16,1683525939,,0.061368181221283874,0.06747646592030622,4145,1.1953373854730642,9.27000762849393e-05,0.00014288314651095808,0.06485793840704543,0.07083445206051171,1.2103204205090758,204,0.0001709163914472241,8.271570659625077e-05,,1.307349958684453,4144,4119.651383399963,0.0001464875520301266,0.9628087883112582,mse,45,cnn,400,0,False,euclidean,128,2368,11,0,0.001,16,100,150,7000
14,cnn_euclidean_16,1683521783,,0.059770358752120625,0.07340950940293495,3308,1.1888990349047257,8.746661332680832e-05,0.00014134809151973877,0.06396896741606972,0.06880495795134196,1.1713697090107704,163,0.00018515135490834112,8.652434275484064e-05,,1.3607033288279309,3308,3283.33731508255,0.0001372106995187977,0.9352358703921076,mse,44,cnn,400,0,False,euclidean,128,2368,11,0,0.001,16,100,150,7000
15,cnn_euclidean_16,1683518461,,0.06912764373770008,0.07120126182081724,1833,1.2753945611054485,0.000111935819038069,0.00016266312864973595,0.0754495070317779,0.07469089159429473,1.2663672450080403,92,0.00018561576246436815,9.412034657895686e-05,,1.3624087582820663,1832,1808.133901119232,0.00016036859992292544,1.057997254429656,mse,43,cnn,400,0,False,euclidean,128,2368,11,0,0.001,16,100,150,7000
16,cnn_euclidean_8,1683516615,,0.09181889097334504,0.09858879260643565,3930,1.749501301889804,0.0002569055667860651,0.0003060754805314119,0.09383584515915976,0.1010905881322737,1.8051135041404696,185,0.00036733370354267384,0.0002548932483232302,,1.9165951673284416,3929,3904.834171772003,0.00032584347628302856,1.6028273980253305,mse,46,cnn,300,0,False,euclidean,128,2368,11,0,0.001,8,100,150,7000
17,cnn_euclidean_8,1683512674,,0.09628402660496824,0.099215785445589,2007,1.833675732767152,0.00027940279262007346,0.0003362366692939152,0.09701085074983462,0.10176659154745288,1.889546432593186,102,0.0003518547789156061,0.00026634717651479573,,1.8757792485140836,2007,1983.1004090309143,0.0003570385720925635,1.6715346021547788,mse,45,cnn,300,0,False,euclidean,128,2368,11,0,0.001,8,100,150,7000
18,cnn_euclidean_8,1683510656,,0.09286433281139894,0.09681575507828684,2745,1.7217826239832663,0.00026592671305437075,0.0002964535404250703,0.0949333142903116,0.09998598257167228,1.8410153005479983,151,0.0003174251719845948,0.00026355021521932894,,1.7816429832730092,2744,2720.765219449997,0.0003389337336851838,1.6307259520053357,mse,44,cnn,300,0,False,euclidean,128,2368,11,0,0.001,8,100,150,7000
19,cnn_euclidean_8,1683507899,,0.09476274808196278,0.09576242518846435,2800,1.7213219533624726,0.000269651820304102,0.0002962949267127598,0.09539374354210768,0.10004892937288988,1.8806941034983384,150,0.0003210512695674117,0.0002611091324481992,,1.791790360414442,2799,2779.843535423279,0.00035370103109334187,1.642107853656702,mse,43,cnn,300,0,False,euclidean,128,2368,11,0,0.001,8,100,150,7000
20,cnn_euclidean_6,1683505088,,0.11656207552745744,0.12459303831211244,3702,2.2072613629751365,0.0004417520091995936,0.0004872002724482856,0.12105269174383144,0.12395364798422094,2.2970732552103166,204,0.0005410836049769488,0.0004236074168924484,,2.32612038591503,3702,3681.779925823212,0.000527654553980252,2.101789735438808,mse,46,cnn,200,0,False,euclidean,128,2368,11,0,0.001,6,100,150,7000
21,cnn_euclidean_6,1683501372,,0.1207541788421668,0.1197894946764214,1879,2.1963281150509517,0.0004730842156583661,0.0004823857188963265,0.1174850390414999,0.12421711254706586,2.2815954135480734,95,0.0005164511095746561,0.0004345937323750468,,2.2725560709796713,1878,1853.9949300289152,0.0005205677631123604,2.1750499204808293,mse,45,cnn,200,0,False,euclidean,128,2368,11,0,0.001,6,100,150,7000
22,cnn_euclidean_6,1683499479,,0.1162368651357564,0.1176289748663854,3079,2.1698739676837757,0.00042846261921895113,0.0004708353035631731,0.11721271214461086,0.12217032993799888,2.2847446685683925,154,0.0004838538885991456,0.0004269754105616458,,2.1996679035689586,3078,3054.214531183243,0.0005220058200551693,2.069933861791123,mse,44,cnn,200,0,False,euclidean,128,2368,11,0,0.001,6,100,150,7000
23,cnn_euclidean_6,1683496388,,0.11916138720976842,0.12271448505045188,1512,2.2327375227520148,0.0004577612590419685,0.0004985116845504804,0.12114048592369966,0.125651070715597,2.328174448465609,97,0.0005642855585778527,0.00043668479559483465,,2.375469550589636,1512,1487.550101995468,0.0005420396262488142,2.1395356015779887,mse,43,cnn,200,0,False,euclidean,128,2368,11,0,0.001,6,100,150,7000
24,cnn_euclidean_4,1683494866,,0.1639031961583472,0.16117726363919,1494,2.9664159584016185,0.000884929972374207,0.0008799623638259793,0.16170780148169006,0.16964655924296754,3.1712852925449613,102,0.0008815013252509137,0.000880494668632262,,2.9690087996685253,1494,1475.4048700332642,0.001005705040671198,2.97477725615584,mse,46,cnn,100,0,False,euclidean,128,2368,11,0,0.001,4,100,150,7000
25,cnn_euclidean_4,1683493361,,0.16346528058392662,0.16508315596315595,2037,3.0102390623340356,0.000903577534923354,0.0009061539212401691,0.1619501121116407,0.16793380174327482,3.1226792906786134,104,0.0009346466682230432,0.0008935703553150517,,3.0571991564552077,2036,2018.0734567642212,0.0009751125952433086,3.0059566446031023,mse,45,cnn,100,0,False,euclidean,128,2368,11,0,0.001,4,100,150,7000
26,cnn_euclidean_4,1683491312,,0.16588874547976953,0.1587075760448822,2076,3.0099953142198883,0.0008862353518980181,0.0009060071791625684,0.16202871882554257,0.17198882269379276,3.205461728827651,104,0.000937518725228129,0.0008833273667539773,,3.0618927564957743,2079,2051.714611530304,0.0010274984894978751,2.9769705270593763,mse,44,cnn,100,0,False,euclidean,128,2368,11,0,0.001,4,100,150,7000
27,cnn_euclidean_4,1683489216,,0.1625638411586935,0.1589840172336559,2072,2.965292744170495,0.0008721473281598323,0.0008792961058630184,0.15778493240024105,0.16311762959631765,3.0948723813520167,104,0.0008843953365159005,0.0008825768119377363,,2.973878505446886,2072,2048.1675901412964,0.00095782350568555,2.953214059562619,mse,43,cnn,100,0,False,euclidean,128,2368,11,0,0.001,4,100,150,7000
28,cnn_euclidean_2,1683487130,,0.29227660584449766,0.2863570667998959,1950,5.243405247452914,0.0028121868102000906,0.0027493298589016755,0.2864870354984746,0.29673963035246403,5.425083704240141,98,0.0028003031712476954,0.0027746731268556476,,5.291789084277354,1950,1925.8888490200045,0.0029431533198011933,5.303005572503286,mse,46,cnn,100,0,False,euclidean,128,2368,11,0,0.001,2,100,150,7000
29,cnn_euclidean_2,1683485167,,0.29346654523502697,0.2886228570191547,2072,5.174859065202042,0.0027967066168059387,0.002677916634470375,0.2864404047137559,0.2962616018427565,5.338993970897109,104,0.002743961559749688,0.002758996484535081,,5.238283649965596,2072,2047.23463845253,0.002850485662127568,5.288389751905526,mse,45,cnn,100,0,False,euclidean,128,2368,11,0,0.001,2,100,150,7000
30,cnn_euclidean_2,1683483082,,0.2900758147208722,0.28275197851537454,2069,5.177038273206904,0.0027930470109711605,0.0026801725282249124,0.28213294326656996,0.2940936640258337,5.420276043523182,104,0.002680404091329135,0.002735158143806961,,5.177261912757683,2068,2044.244221687317,0.0029379392387991316,5.284928581325541,mse,44,cnn,100,0,False,euclidean,128,2368,11,0,0.001,2,100,150,7000
31,cnn_euclidean_2,1683481000,,0.28759644750805646,0.2830792002003602,2070,5.191867633934785,0.0027585083141245625,0.002695548952829958,0.27869853147954654,0.2968383234005913,5.4503487285132834,104,0.002721261327916926,0.00271321314817609,,5.216571026945695,2069,2045.2619955539703,0.002970630126240636,5.252150334981438,mse,43,cnn,100,0,False,euclidean,128,2368,11,0,0.001,2,100,150,7000
32,cnn_hyperbolic_128,1683478918,0.11182587593793868,0.03377438792934665,0.0425703841553192,2643,0.8480350190456127,1.997802930191619e-05,7.191633935276927e-05,0.042779320454356645,0.03931217435105668,0.6497254936138108,130,8.792271007104034e-05,1.6558714847302656e-05,1.117806911468506,0.9376711047645668,2642,2618.411191225052,4.2214321705171006e-05,0.4469678881297424,mse,46,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,128,100,150,7000
33,cnn_hyperbolic_128,1683476262,0.11269636452198029,0.03267251627495536,0.04299251105899762,3146,0.8375538950271648,1.9161788177489022e-05,7.014965270751749e-05,0.04186642021166556,0.04040254299705994,0.6583068659901756,154,8.64280576257957e-05,1.524842393871052e-05,1.1091431379318235,0.9296669168352484,3146,3121.7872610092163,4.33367929809807e-05,0.43774179806695435,mse,45,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,128,100,150,7000
34,cnn_hyperbolic_128,1683473102,0.10782240331172945,0.04315184754249338,0.04436211318680734,1795,0.8890728497967335,3.0383281053690988e-05,7.90450532245685e-05,0.04586797854966587,0.04473702761950909,0.7071765291682529,89,9.80865172298056e-05,1.8752347553687855e-05,1.137576460838318,0.9903863752586948,1795,1770.4280557632446,5.000986434064568e-05,0.5512103142512029,mse,44,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,128,100,150,7000
35,cnn_hyperbolic_128,1683471293,0.11416002362966536,0.02993870735071696,0.03861057494324867,4133,0.692861342646876,1.6481483004879138e-05,4.800568401344318e-05,0.038745253031151464,0.0389314894241508,0.6376997189759882,200,5.232765232894871e-05,1.4452160666235602e-05,1.0996524095535278,0.7233785477116992,4132,4108.455496549606,4.066609315820543e-05,0.4059739277943737,mse,43,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,128,100,150,7000
