"Name","distance","embedding_size","final/%rmse_test","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","learning_rate","len_sequence","loss","model","multiplicity","num_test_sequences","num_train_sequences","num_val_sequences","scaling","seed","weight_decay","loss/train","loss/val","metrics/%rmse_val","metrics/mape_val","final/%rmse_train","final/%rmse_val","final/loss_test","final/loss_train","final/loss_val","final/mape_test","final/mape_train","final/mape_val","final/radius","final/scaling","train time"
"cnn_euclidean_16","euclidean","16","1.1774907721505874","finished","-","eitan-turok","","2023-05-08T06:05:55.000Z","3305","","128","0","400","0.001","2368","mse","cnn","11","150","7000","100","false","46","0","0.00008310317980010642","0.00013712115017544346","1.1709874046096458","0.06579589301889593","0.929470330007872","1.160881828890374","0.00013864845184997866","0.00008639150943649424","0.00013476466206478594","0.0678214337991788","0.06006232573653196","0.06469360349455265","","","3278.1281332969666"
"cnn_euclidean_16","euclidean","16","1.2103204205090758","finished","-","eitan-turok","","2023-05-08T04:56:37.000Z","4148","","128","0","400","0.001","2368","mse","cnn","11","150","7000","100","false","45","0","0.00008271570659625077","0.0001709163914472241","1.307349958684453","0.06747646592030622","0.9628087883112582","1.1953373854730642","0.0001464875520301266","0.0000927000762849393","0.00014288314651095808","0.07083445206051171","0.061368181221283874","0.06485793840704543","","","4119.651383399963"
"cnn_euclidean_16","euclidean","16","1.1713697090107704","finished","-","eitan-turok","","2023-05-08T04:01:16.000Z","3311","","128","0","400","0.001","2368","mse","cnn","11","150","7000","100","false","44","0","0.00008652434275484064","0.00018515135490834112","1.3607033288279309","0.07340950940293495","0.9352358703921076","1.1888990349047257","0.0001372106995187977","0.00008746661332680832","0.00014134809151973877","0.06880495795134196","0.059770358752120625","0.06396896741606972","","","3283.33731508255"
"cnn_euclidean_16","euclidean","16","1.2663672450080403","finished","-","eitan-turok","","2023-05-08T03:30:31.000Z","1835","","128","0","400","0.001","2368","mse","cnn","11","150","7000","100","false","43","0","0.00009412034657895686","0.00018561576246436815","1.3624087582820663","0.07120126182081724","1.057997254429656","1.2753945611054485","0.00016036859992292544","0.000111935819038069","0.00016266312864973595","0.07469089159429473","0.06912764373770008","0.0754495070317779","","","1808.133901119232"
"cnn_euclidean_8","euclidean","8","1.8051135041404696","finished","-","eitan-turok","","2023-05-08T02:24:47.000Z","3933","","128","0","300","0.001","2368","mse","cnn","11","150","7000","100","false","46","0","0.0002548932483232302","0.00036733370354267384","1.9165951673284416","0.09858879260643565","1.6028273980253305","1.749501301889804","0.00032584347628302856","0.0002569055667860651","0.0003060754805314119","0.1010905881322737","0.09181889097334504","0.09383584515915976","","","3904.834171772003"
"cnn_euclidean_8","euclidean","8","1.889546432593186","finished","-","eitan-turok","","2023-05-08T01:51:08.000Z","2011","","128","0","300","0.001","2368","mse","cnn","11","150","7000","100","false","45","0","0.00026634717651479573","0.0003518547789156061","1.8757792485140836","0.099215785445589","1.6715346021547788","1.833675732767152","0.0003570385720925635","0.00027940279262007346","0.0003362366692939152","0.10176659154745288","0.09628402660496824","0.09701085074983462","","","1983.1004090309143"
"cnn_euclidean_8","euclidean","8","1.8410153005479983","finished","-","eitan-turok","","2023-05-08T01:05:13.000Z","2747","","128","0","300","0.001","2368","mse","cnn","11","150","7000","100","false","44","0","0.00026355021521932894","0.0003174251719845948","1.7816429832730092","0.09681575507828684","1.6307259520053357","1.7217826239832663","0.0003389337336851838","0.00026592671305437075","0.0002964535404250703","0.09998598257167228","0.09286433281139894","0.0949333142903116","","","2720.765219449997"
"cnn_euclidean_8","euclidean","8","1.8806941034983384","finished","-","eitan-turok","","2023-05-08T00:18:21.000Z","2803","","128","0","300","0.001","2368","mse","cnn","11","150","7000","100","false","43","0","0.0002611091324481992","0.0003210512695674117","1.791790360414442","0.09576242518846435","1.642107853656702","1.7213219533624726","0.00035370103109334187","0.000269651820304102","0.0002962949267127598","0.10004892937288988","0.09476274808196278","0.09539374354210768","","","2779.843535423279"
"cnn_euclidean_6","euclidean","6","2.2970732552103166","finished","-","eitan-turok","","2023-05-07T23:16:27.000Z","3705","","128","0","200","0.001","2368","mse","cnn","11","150","7000","100","false","46","0","0.0004236074168924484","0.0005410836049769488","2.32612038591503","0.12459303831211244","2.101789735438808","2.2072613629751365","0.000527654553980252","0.0004417520091995936","0.0004872002724482856","0.12395364798422094","0.11656207552745744","0.12105269174383144","","","3681.779925823212"
"cnn_euclidean_6","euclidean","6","2.2815954135480734","finished","-","eitan-turok","","2023-05-07T22:44:55.000Z","1882","","128","0","200","0.001","2368","mse","cnn","11","150","7000","100","false","45","0","0.0004345937323750468","0.0005164511095746561","2.2725560709796713","0.1197894946764214","2.1750499204808293","2.1963281150509517","0.0005205677631123604","0.0004730842156583661","0.0004823857188963265","0.12421711254706586","0.1207541788421668","0.1174850390414999","","","1853.9949300289152"
